evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_161-M4,161,4,Harnisz (2020),The impact of WWTP size and sampling season on the prevalence of antibiotic resistance genes in wastewater and the river system,Discussion interpretation,Socio-ecological mediation,未明确,"“Rizzo et al. (2013) pointed out that the selection of resistant bacteria can occur during or after antimicrobial treatment and that antibiotic consumption contributes to the release of ARB into sewage water with individual excretions.” (p.8, para.1)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-08
EVID_161-M5,161,5,Harnisz (2020),The impact of WWTP size and sampling season on the prevalence of antibiotic resistance genes in wastewater and the river system,Results and discussion integration,Socio-ecological mediation,未明确,"“The abundance of ARGs peaked in winter and spring, which could probably be associated with higher antibiotic consumption in these seasons.” (p.12, para.1)",Observational,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_163-M1,163,1,Guo (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Results,Environment-mediated pathways,未明确,"“Among sulfonamides resistance genes, the abundances were generally low in winter, and relative high in summer, especially for the sul1 genes (Fig. 2C and D).” (p.579, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_163-M2,163,2,Guo (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Results,Environment-mediated pathways,未明确,"“sul1 was the dominant gene in almost all the samples with concentrations ranged from 2.81 × 10^5 to 2.22 × 10^6 copies/g in autumn, 6.06 × 10^4 to 1.07 × 10^5 copies/g in winter, 1.14 × 10^5 to 2.04 × 10^6 copies/g in spring and 1.89 × 10^6 to 1.80 × 10^8 copies/g in summer, respectively,” (p.579, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_163-M3,163,3,Guo (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Results and discussion integration,Direct biological mechanisms,未明确,"“Additionally, when normalized by 16S-rRNA, intI1 abundances showed significant correlations to sul1 (r = 0.368, P = 0.038) and sul2 (r = 0.354, P = 0.047).” (p.579, para.5)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_163-M4,163,4,Guo (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Discussion interpretation,Direct biological mechanisms,未明确,"“Generally, integrons can carry antibiotic resistance genes and affect the occurrence of antibiotic resistance by facilitating horizontal gene transfer or incorporation into bacterial genome (Rowe-Magnus and Mazel, 2002; Zhu et al., 2013).” (p.579, para.5)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-08
EVID_163-M5,163,5,Guo (2018),"Seasonal and spatial distribution of antibiotic resistance genes in the sediments along the Yangtze Estuary, China",Results,Environment-mediated pathways,未明确,"“For qnrS gene, their concentrations had significant seasonal variations in most of sampling site (P < 0.05) and showed the trend of summer (average concentration of 1.40 × 10^6 copies/g) > spring (average concentration of 6.99 × 10^5 copies/g) ≈ winter (average concentration of 3.81 × 10^5 copies/g) > autumn (average concentration of 3.08 × 10^4 copies/g) (Fig. 2H).” (p.579, para.7)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_164-M1,164,1,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Results,Environment-mediated pathways,未明确,"“OFL and sulfamethoxazole might pose a significant high risk to aquatic organisms both in three seasons, and the ecological risk of antibiotics in East Dongting Lake is more significant at low temperatures than high.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_164-M2,164,2,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Results,Environment-mediated pathways,未明确,"“For seasonal change, the surface water and sediment were characterized by spring > summer > fall.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_164-M3,164,3,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Discussion interpretation,Environment-mediated pathways,未明确,"“On the contrary, the higher nutrient, temperature, and antibiotic concentration selective pressure in the sediments could promote the growth of microorganisms and induction of resistance genes.” (p.10, para.2)",Observational,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-08
EVID_164-M4,164,4,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Results and discussion integration,Environment-mediated pathways,未明确,"“Generally, it was due to the adsorption of flowing components containing ARGs into suspended particles and accumulation in the sediments.” (p.10, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_164-M5,164,5,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Discussion interpretation,Direct biological mechanisms,未明确,"“The high int1 abundance in both water and sediment in our study revealed potential horizontal gene transfer in multi-media in East Dongting Lake.” (p.10, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_164-M6,164,6,Guo (2022),Multi-Media Occurrence of Antibiotics and Antibiotic Resistance Genes in East Dongting Lake,Results and discussion integration,Socio-ecological mediation,未明确,"“which may be related to the seasonal use of antibiotics in this area, especially for respiratory infection and diarrhea treatment at low temperature” (p.6, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_166-M1,166,1,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results and discussion integration,Environment-mediated pathways,,"“The most compounds were found at higher concentration in summer than those in winter which was attributed to higher consumptions patterns of these agents in hospital and lower dilution rate during summer season.” (p.16390, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_166-M2,166,2,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results and discussion integration,Environment-mediated pathways,,"“In literature, it was reported that the concentrations of antibiotics in dry seasons could be higher than that of in wet seasons due to rainfall dilution (Sun et al. 2018). Higher concentrations of antibiotics in summer could be resulted from less dilution.” (p.16386, para.4)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2026-01-09
EVID_166-M3,166,3,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results,Environment-mediated pathways,,"“On the other hand, cilastatin, 4 N-acethyl-sulfamethoxazole and sulfamethoxazole were found in higher concentration in summer (5 μg/L; 28.3 μg/L; 18 μg/L) than those in winter (3.7 μg/L; 23.3 μg/L; 13.4 μg/L).” (p.16386, para.4)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_166-M4,166,4,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results,Environment-mediated pathways,,"“In our study, antibiotic resistance against azithromycin, clindamycin and trimethoprim-sulfamethoxazole antibiotics among gram-positive strains was observed around 50% in the winter period. Although these resistance rates were found to be relatively lower in the summer period, it was still determined to be around 40%.” (p.16390, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_166-M5,166,5,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results and discussion integration,Environment-mediated pathways,Enterobacterales,"“One of the results of the present study displayed that while trimethoprim/sulfamethoxazole resistance in Enterobacterales strains were similar in each of the tested seasons, the numbers of resistant strains of Enterobacterales to ciprofloxacin were collected higher in summer seasons (Fig. 5).” (p.16388, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_166-M6,166,6,Gönder (2021),Detailed characterization and antibiotic resistance of hospital wastewater and their seasonal variation in a medical faculty hospital in Turkey,Results and discussion integration,Environment-mediated pathways,Pseudomonas spp.; Aeromonas spp.; Burkholderia cepacia,"“Aeromonas spp. and Burkholderia cepacia, which are resistant to all tested antibiotics at both winter and summer seasons, the numbers of resistant strains to ciprofloxacin, azithromycin, clarithromycin and clindamycin were obtained higher in summer season (Fig. 5).” (p.16389, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-09
EVID_167-M1,167,1,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results,Environment-mediated pathways,Vibrio spp.,"“Annual Vibrio abundance in this region ranged from 20 to 11,600 CFU mL− 1 and the most significant positive correlation occurred with temperature.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M2,167,2,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results,Environment-mediated pathways,Vibrio spp.,"“statistical analysis revealed positive correlations between temperature, salinity and TDS with Vibrio abundance, while DO showed a negative correlation with Vibrio abundance (Fig. 3).” (p.3, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M3,167,3,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results,Socio-ecological mediation,Vibrio spp.,"“A total of twenty antibiotic-resistant Vibrio strains were isolated in four seasons, accounting for 11.30 % of all isolates, and three MAR strains were present in antibiotic-resistant strains.” (p.4, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M4,167,4,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results,Socio-ecological mediation,Vibrio spp.,"“The spring isolate V. hyugaensis was antibiotic resistant to ENR, CFX, DX and N, while in winter no MAR strains occurred.” (p.4, para.2)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M5,167,5,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results,Environment-mediated pathways,Vibrio spp.,"“In addition, a higher proportion of Vibrio showed intermediate resistance to N, CFX, and DX, and they had a higher probability of developing into antibiotic resistant Vibrio, which may cause the spread of antibiotic resistance in Vibrio.” (p.4, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M6,167,6,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Results and discussion integration,Environment-mediated pathways,Vibrio spp.,"“In summer, when temperature was the highest, Vibrio abundance was maximal,” (p.8, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_167-M7,167,7,Gao (2022),"Seasonal variation, virulence gene and antibiotic resistance of Vibrio in a semi-enclosed bay with mariculture (Dongshan Bay, Southern China)",Discussion interpretation,Environment-mediated pathways,Vibrio spp.,"“Compared with other factors, temperature had the strongest effect on Vibrio abundance changes, which is consistent with several previous studies revealing that temperature has a significant impact on the abundance, distribution, and persistence of Vibrio species in seawater” (p.5, para.1)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-09
EVID_168-M1,168,1,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Results,Socio-ecological mediation,E.coli,"“Isolates from calves in the spring were more likely to be resistant to sulfisoxazole, tetracycline, and chloramphenicol than those from cows in the spring or calves in the fall.” (p.146, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_168-M2,168,2,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Results,Socio-ecological mediation,E.coli,"“Isolates from calves in the fall were less likely to be resistant to sulfisoxazole, tetracycline, and chloramphenicol compared to isolates from calves in the spring (Table 5).” (p.150, para.2)",Observational,Indirect empirical support,Suppressing AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_168-M3,168,3,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Results,Socio-ecological mediation,E.coli,"“Isolates from calves in the fall were also less likely to be multiclass-resistant as well as be resistant to $ 1 antimicrobial compared to isolates from calves in the spring (Table 5).” (p.150, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_168-M4,168,4,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Results,Socio-ecological mediation,E.coli,"“Furthermore, isolates from calves in the fall were more likely to be pansusceptible than isolates recovered from calves in the spring (Table 5).” (p.150, para.2)",Observational,Indirect empirical support,Suppressing AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_168-M5,168,5,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Discussion interpretation,Socio-ecological mediation,E.coli,"“Most treatments administered to calves for neonatal diarrhea and respiratory disease typically occur in the first 3 mo after birth (10). Calves are also more likely to be treated than cows in the spring, potentially explaining the difference in AMR between calves and cows (21).” (p.153, para.3)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_168-M6,168,6,Fossen (2024),Antimicrobial resistance in generic E. coli isolated from western Canadian cow-calf herds,Discussion interpretation,Socio-ecological mediation,E.coli,"“Typically, cattle are managed under a relatively higher degree of confinement during and following calving season, providing opportunities for indirect environmental transmission of enteric organisms among all cows and calves in the same management group.” (p.153, para.4)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_169-M1,169,1,Du (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant in different seasons,Results,Environment-mediated pathways,未明确,"“The median concentrations of five resistance genes within a season were all relatively higher in spring (105.81–107.32 copies mL−1) than they were in other seasons; then, the values decreased in the summer, and tetW, tetX, and sul1 reached their lowest concentration in autumn (104.61–106.81 copies mL−1).” (p.3721, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-10
EVID_169-M2,169,2,Du (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant in different seasons,Discussion interpretation,Socio-ecological mediation,E.coli（文中引用研究）,"“So, it is reasonable to suppose that the abundance of ARGs peaked in spring but lagged behind the antibiotics usage peak in winter, while the lowest abundance of ARGs appeared in autumn which lagged behind the relatively lower usage of antibiotics in summer.” (p.3721, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-10
EVID_169-M3,169,3,Du (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant in different seasons,Discussion interpretation,Direct biological mechanisms,未明确,"“Considering that the sampling temperature may affect the activity of the microorganism, further change in the abundance of ARGs can be expected (Yuan et al. 2014). Spring provided favorable conditions for bacterial growth.” (p.3721, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2026-01-10
EVID_169-M4,169,4,Du (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant in different seasons,Discussion interpretation,Direct biological mechanisms,未明确,"“It is pointed out that the anaerobic treatment is more effective in removing ARGs in wastewater, because the bioactivity of the microorganism is lower under anaerobic condition and the spread and propagation of resistance genes are inhibited (Pei et al. 2007).” (p.3722, para.1)",Review-based,Review-based support,Suppressing AMR,Conceptual or unclear,Built or engineered environment,2026-01-10
EVID_169-M5,169,5,Du (2015),Variation of antibiotic resistance genes in municipal wastewater treatment plant in different seasons,Results,Environment-mediated pathways,未明确,"“Pearson bivariate correlation analysis indicated that of all the parameters, only COD exhibited significant correlation with tetW (R=0.636, p<0.05), intI1 (R=0.829, p<0.01), and sul1 (R=0.832, p<0.01), respectively (Table 3).” (p.3718, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-10
EVID_173-M1,173,1,Dagan (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic Restriction Policy?,Results,Socio-ecological mediation,S.pneumoniae,"“A significant decrease in overall antibiotic prescription rates (per 1000 children aged <5 years each year) during the warm months was noted in both populations (P ≤ .005 for the difference in rates between the cold and warm months) (figure 1). This pattern was consistent across all study years. The mean ± SD overall monthly antibiotic prescription rate was 291 ± 77 during the cold months and 222 ± 77 during the warm months, representing a 24% reduction in prescription rate during the warm months (P < .001). This contrast between seasons was more pronounced in Jewish children than in Bedouin children— 241 ± 62 versus 155 ± 32 during the cold versus warm months, respectively, in Jewish children, a 36% reduction in prescription rates (P < .001); and 341 ± 55 versus 290 ± 39, respectively, in Bedouin children, a 15% reduction (P < .001).” (p.4, para.2)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_173-M2,173,2,Dagan (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic Restriction Policy?,Results,Socio-ecological mediation,S.pneumoniae,"“In Jewish children, the proportion of isolates with a penicillin MIC ≥1.0 μg/mL was significantly higher during the cold months than during the warm months (43% vs. 29%; odds ratio [OR], 1.86 [95% confidence interval {CI}, 1.37−2.52]; P < .001). The respective figures for erythromycin resistance were 29% versus 20% (OR, 1.56 [95% CI, 1.15−2.12]; P < .005); for multidrug resistance, they were 24% versus 15% (OR, 1.73 [95% CI, 1.25−2.39]; P < .001) (figures 2 and 3).” (p.5, para.1)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_173-M3,173,3,Dagan (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic Restriction Policy?,Results,Socio-ecological mediation,S.pneumoniae,"“Among Jewish children, each monthly increase in 10 prescriptions/1000 children was associated with a 1.05-fold increase in the odds of penicillin resistance during that month (95% CI, 1.03−1.07; P < .001).” (p.5, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_173-M4,173,4,Dagan (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic Restriction Policy?,Discussion interpretation,Socio-ecological mediation,S.pneumoniae,"“Furthermore, we showed that the yearly seasonal reduction in antibiotic prescriptions during the warm months was significantly associated with a marked reduction in antibiotic resistance rates among these pneumococcal isolates. This change remained significant in most instances after adjustment for age, AOM history, and previous or current antibiotic use.” (p.6, para.1)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_173-M5,173,5,Dagan (2008),Seasonality of Antibiotic-Resistant Streptococcus pneumoniae That Causes Acute Otitis Media: A Clue for an Antibiotic Restriction Policy?,Discussion interpretation,Socio-ecological mediation,S.pneumoniae,"“Regardless of the mechanism involved, the finding that antibiotic resistance rapidly decreases each year among AOM-causing S. pneumoniae isolates when antibiotic prescription rates decrease suggests that interventions to reduce antibiotic use may reduce resistance in the community faster than previously thought.” (p.8, para.1)
; “In the present study, the decrease in antibiotic prescription rates during the summer was marked, especially in Jewish children, with approximately twice as many prescriptions during peak months as during trough months.” (p.8, para.2)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_176-M1,176,1,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Results,Environment-mediated pathways,S. Typhimurium,"“Of the antimicrobials considered we found a common peak in the probability that an S. Typhimurium incident will show resistance to a given antimicrobial in late spring and in mid to late autumn;” (p.2062, para.1)",Model-based,Indirect empirical support,Promoting AMR,Model/evolutionary,Within host / clinical,2026-01-10
EVID_176-M2,176,2,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Results,Environment-mediated pathways,S. Typhimurium,"“All four of the profiles showed a peak in the probability of resistance in mid to late spring, with a smaller peak in late autumn.” (p.2067, para.7)",Model-based,Indirect empirical support,Promoting AMR,Model/evolutionary,Within host / clinical,2026-01-10
EVID_176-M3,176,3,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Results and discussion integration,Environment-mediated pathways,S. Typhimurium,"“All four of the temporal profiles showed peak probability of resistance in mid-late spring and a lesser peak in late autumn.” (p.2068, para.6)",Model-based,Indirect empirical support,Promoting AMR,Model/evolutionary,Within host / clinical,2026-01-10
EVID_176-M4,176,4,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Discussion interpretation,Socio-ecological mediation,S. Typhimurium,"“We hypothesize a connection between the peaks in antimicrobial resistance in spring and autumn that we recorded and the strong seasonal patterns in cattle births.” (p.2069, para.3)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_176-M5,176,5,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Discussion interpretation,Socio-ecological mediation,S. Typhimurium,"“At these times antimicrobials (e.g. sulphonamides) are administered (when calves are removed from the dam), to treat or prevent diarrhoea and pneumonia [30].” (p.2070, para.1)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_176-M6,176,6,Cox (2012),Spatial and temporal patterns in antimicrobial resistance of Salmonella Typhimurium in cattle in England and Wales,Discussion interpretation,Socio-ecological mediation,S. Typhimurium,"“Prophylactic treatments are also typically used during transport; a high-risk period for infectious disease [30], which peaks strongly in spring and autumn (the autumn peak being the larger) [28].” (p.2071, para.1)",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2026-01-10
EVID_177-M1,177,1,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results,Environment-mediated pathways,未明确,"“In the spring, significant correlations were observed between ARG profiles and both temperature (r = 0.19, p < 0.05) and density (r = 0.21, p < 0.05).” (p.11, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_177-M2,177,2,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results,Environment-mediated pathways,未明确,"“Temperature, density, salinity and TC content had impacts on the antibiotic resistome in the autumn, but these effects were not significant (p > 0.05).” (p.10, para.2)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_177-M3,177,3,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results,Environment-mediated pathways,未明确,"“The differences in the correlations between ARGs and environmental factors (e.g., temperature and density) across seasons potentially suggested that these environmental factors play a certain role in regulating the seasonal stability of ARGs in this study.” (p.10-para.2)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_177-M4,177,4,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results and discussion integration,Environment-mediated pathways,未明确,"“Moreover, environmental factors (e.g., temperature and density) had different effects on the antibiotic resistome in the autumn compared with the spring, suggesting that these factors potentially play certain roles in the stabilization of the antibiotic resistome between the spring and autumn (Figure 7a).” (p.14, para.2)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_177-M5,177,5,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results and discussion integration,Environment-mediated pathways,未明确,"“Stochastic processes, Deltaproteobacteria and environmental factors such as temperature significantly contributed to the stabilization of the antibiotic resistome across seasons.” (p.14, para.4)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_177-M6,177,6,Chen (2025),"Composition, Distribution and Mobility Potential of the Antibiotic Resistome in Sediments from the East China Sea Revealed by Metagenomic Analysis",Results and discussion integration,Direct biological mechanisms,E.faecium,"“the average ARRI was higher in the spring than in the autumn (Figure 7b), likely because of the greater relative abundance of HPB and ARGs co-occurring with MGEs in the spring. This indicates more active HGT in the spring, suggesting more attention to the antibiotic resistome in the spring.” (p.13, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_178-M1,178,1,Chattopadhya (2021),Hospital Premises as a Potential Reservoir of Antimicrobial Resistance,Results,Environment-mediated pathways,E.coli; K.pneumoniae,"“There was significant increase in the prevalence of various categories of AMR in indicator organisms i.e., E. coli and/ or K. pneumoniae isolated from soil samples in hospital grounds and pedestrian tracks over the four years period between 2014 and 2018 (Tables 1 and 2). In both the years, prevalence of AMR was higher in samples collected during post-monsoon season compared to pre-monsoon season…” (p.18, para.1)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_178-M2,178,2,Chattopadhya (2021),Hospital Premises as a Potential Reservoir of Antimicrobial Resistance,Results,Environment-mediated pathways,E.coli; K.pneumoniae,"“…prevalence of AMR was higher in samples collected during post-monsoon season compared to pre-monsoon season and in samples collected at closer distance from hospital block i.e., 4 ft. compared to samples collected at greater distance i.e., 10 ft. on hospital grounds as well as on pedestrian tracks.” (p.18, para.1)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_178-M3,178,3,Chattopadhya (2021),Hospital Premises as a Potential Reservoir of Antimicrobial Resistance,Results,Environment-mediated pathways,E.coli; K.pneumoniae,"“On comparison, prevalence of various categories of AMR in samples collected from hospital premises were lower than the prevalence of similar categories of AMR in clinical isolates during pre-monsoon period but were higher in post-monsoon period in both the years (Table 1-3).” (p.18, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
EVID_178-M4,178,4,Chattopadhya (2021),Hospital Premises as a Potential Reservoir of Antimicrobial Resistance,Discussion interpretation,Environment-mediated pathways,E.coli; K.pneumoniae,"“However, the salient observation in the present study was higher prevalence of various categories of AMR in indicator organisms in soil samples from hospital premises during the post-monsoon period compared to similar isolates from corresponding locations during pre-monsoon period in both the years of sampling suggesting additional contribution of monsoon to the load of AMR in soil samples. In northern part of India, rainfall is reasonably heavy during monsoon season resulting in frequent flooding of ground soil.” (p.20, para.1)",Observational,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-10
